IMDB Rating,Country,Genres (1st),Production Companies (1st),Year of Release
7,United States,Comedy,Universal Pictures,1938
5.2,France,Comedy,Belstar Productions,1974
7,United States,Comedy,Twentieth Century Fox,1957
7.7,United States,Adventure,Douglas Fairbanks Pictures,1924
6.5,United States,Adventure,Twentieth Century Fox,1962
4.9,Hungary,Drama,Hunnia Filmstúdió,1984
5.3,Spain,Horror,Unreal Media,2017
7.2,France,Comedy,Les Films du Carrosse,1983
5.5,France,Action,Studio Babelsberg,2017
5.2,Switzerland,Comedy,Stamm Film AG,1971
6.4,United States,Drama,Metro-Goldwyn-Mayer (MGM),1940
8.2,United States,Comedy,Sandwoman Films,2015
8.1,Puerto Rico,Drama,Producciones Imago,1999
5.1,United States,Drama,Automatik Entertainment,2015
7,United States,Adventure,Scimitar Films,1971
5.3,France,Crime,TF1 Films Production,1983
4.8,Philippines,Action,RVQ Productions,1988
6,Netherlands,Adventure,Algemene Vereniging Radio Omroep (AVRO),1998
9,Lithuania,Documentary,IronCat,2013
7.4,Argentina,Drama,Sociedad Impresora de Discos Eletrofónicos (SIDE),1939
3.9,Germany,Action,Willy Bogner Film,1990
4.1,United States,Drama,Clearwater Entertainment,2007
3.2,United States,Comedy,Edward R. Pressman Productions,1989
6.8,Mexico,Drama,Producciones Potosí S.A.,1988
7,Japan,Animation,Asatsu-DK,2003
4.3,United Kingdom,Drama,Filmscreen Productions Ltd.,1988
5.5,Indonesia,Drama,KlikFilm Productions,2022
7.1,United States,Action,Warner Bros.,1992
5.8,United Kingdom,Action,Reliance Entertainment,2021
6.7,India,Drama,Subodh Mukherji Productions,1970
7.1,Hungary,Drama,Hajdu Film,1941
6.7,United Kingdom,Comedy,Agenda,1997
6.9,Mexico,Comedy,Técnicos y Manuales A. EN P.,1964
5.3,United States,Action,International Pictures (I),1944
6.2,Germany,Drama,Heimatfilm,2010
7.1,Romania,Romance,Casei de Film 1,1979
4.1,United Kingdom,Adventure,Allied Filmmakers,1993
3.7,United States,Comedy,RAS,1994
3.8,United States,Horror,Conniption Films,2005
2.9,Chile,Comedy,R&G Producciones cinematográficas,2016
5.7,Canada,Comedy,Breakaway Productions,2011
7.5,Denmark,Drama,Zentropa Entertainments,2000
6.8,Germany,Crime,Corazón International,2008
5.2,Japan,Action,Tristone Entertainment Inc.,2009
5.7,Spain,Drama,Eurociné,1956
3.8,United States,Comedy,Red Hill Movies,2018
8.3,Canada,Drama,micro_scope,2010
7.1,Japan,Comedy,Studio Blue Co.,2014
6.9,United States,Drama,Sunjada Productions,2010
6.6,Germany,Comedy,SevenPictures Film,2019
7,Brazil,Comedy,PAM Filmes,1960
5.7,Germany,Drama,Rafkin Film Produktion,2016
7.6,Mexico,Action,Estudios Churubusco Azteca S.A.,1973
7.2,India,Drama,Goel Cine Corporation,1975
8.4,United Kingdom,Comedy,Universal Pictures,2014
9.2,Mexico,Drama,Producciones Huizar,2011
5.2,United States,Horror,Screen Gems,2018
5.7,United Kingdom,Comedy,Peter Rogers Productions,1960
5.7,Argentina,Drama,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),2010
8.8,India,Romance,RuturajD Film Productions,2015
6.5,France,Drama,Pierre Grise Productions,2007
3.8,United States,Comedy,Albert Zugsmith Productions,1960
5.6,United Kingdom,Crime,Cipa,1956
5.7,France,Comedy,MACT Productions,2012
4.4,United States,Action,Promark Entertainment Group,1999
4.6,Greece,Comedy,Karagiannis-Karatzopoulos,1970
7.9,Austria,Comedy,Fernsehfilmproduktion Dr. Heinz Schneiderbauer,1994
6.5,United States,Crime,Tonik Productions,2018
6.4,United States,Comedy,Selznick Pictures Corporation,1920
8.5,United States,Drama,Falling Leaves Productions,2014
5.5,Denmark,Horror,Meta Film,2015
5.2,United Kingdom,Drama,Film Designs Ltd.,1968
3.3,United States,Comedy,Aurora Entertainment,2005
2.8,United States,Horror,Incendiary Features,2010
4,United States,Horror,CFQ Films,2006
6.2,United States,Comedy,Corner Store Entertainment,2010
6.9,Portugal,Drama,Sociedade Óptica Técnica,2014
6.3,United States,Drama,Jaylo International,1970
7,Germany,Biography,Majestic Filmproduktion,2015
7.6,Hungary,Action,Impossible Studio,2016
2.6,United States,Action,Hollywood Storm,2016
5.5,Italy,Comedy,Cinex,1961
6.8,Italy,Drama,Vides Cinematografica,1967
6.7,Russia,Action,AQ Films,2008
7.2,India,Action,Colour Yellow Productions,2019
5.8,United States,Documentary,Pictura Co.,1951
6.7,United Kingdom,Crime,Valiant Films,1949
5.2,United States,Adventure,Maui Heat Productions,1999
6.7,Italy,Comedy,Dean Film,1978
7.2,United States,Comedy,Chernin Entertainment,2014
3.8,Greece,Comedy,Antenna TV,2001
4.7,United States,Action,Warner Bros.,2010
8.7,Philippines,Comedy,Viva Films,2001
7.5,United States,Drama,Warner Bros.,1997
5.7,"Korea, South",Action,Opus Pictures,2014
4.7,United States,Action,TriStar Pictures,1987
6,Germany,Drama,Catpics,2000
6.7,United States,Action,Silver Pictures,1989
5.7,United States,Action,Black Bear Pictures,2022
5.4,Spain,Drama,El Imán Cine y Televisión S.A.,1979
5.7,Ghana,Drama,Ananse Entertainment,2018
5.2,France,Comedy,Panthéon Productions,1950
6.8,United States,Action,Columbia Pictures,2016
5,Mexico,Action,Producciones Fílmicas Agrasánchez S.A.,1977
3.7,"Korea, South",Animation,Daekwang Planning,1985
6.2,Spain,Drama,Tres la Película Frida Nadir AIE,2021
6.2,Macedonia,Drama,Vertigo,2007
5.3,France,Crime,Gaumont International,1975
4.5,Spain,Animation,Milímetros S.A.,2010
6.8,United Kingdom,Comedy,British National Films,1942
4.7,Italy,Adventure,Carthago Films S.a.r.l.,2007
6.8,India,Drama,Super Good Films,2001
5.9,Italy,Drama,Corsaro Productions,2003
6.4,United States,Drama,The Stoebner/Baumgartner Company,2005
4.3,United Kingdom,Drama,Amérique Film,2007
